Simplified protein IDs	Gene name	MitoCoP disease association	Functional MitoCoP classification	MitoCoP	MitoCoP identified/ validated	MitoCoP identified	MitoCoP validated	MitoCoP disease gene	References	UniProt: involvement in disease	DisGeNET disease ID (curated associations)	OMIM	Phenotype MIM number	Half-live (HeLa) [h]	Half-life (Hu7) h	tomm40 Importomics	Mean Log2 Ratio tomm40KD/mock	p-Value	Mean mito-copies per cell (≥2/3 Reps)	Mean copy numbers per cell (≥2/3 Reps)	Category	Integral [%]	Membrane-associated [%]
Q99807	COQ7	"Central nervous system;Metabolism;Ophthalmic system;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Failure to thrive;Cardiovascular system;Pulmonary system ;Muscular system;Ears;Peripheral nervous system;Skeletal system;Kidney and urinary tract"	Cofactor metabolism	1				1	"Freyer, C., Stranneheim, H., Naess, K., Mourier, A., Felser, A., Maffezzini, C., Lesko, N., Bruhn, H., Engvall, M., Wibom, R., Barbaro, M., Hinze, Y., Magnusson, M., Andeer, R., Zetterstrom, R. H., von Dobeln, U., Wredenberg, A., and Wedell, A. (2015) Rescue of primary ubiquinone deficiency due to a novel COQ7 defect using 2,4-dihydroxybensoic acid. J Med Genet 52, 779-783"	"DISEASE: Coenzyme Q10 deficiency, primary, 8 (COQ10D8) [MIM:616733]: An autosomal recessive disorder resulting from mitochondrial dysfunction and characterized by decreased levels of coenzyme Q10. Patients manifest neonatal lung hypoplasia, contractures, early infantile hypertension and cardiac hypertrophy, secondary to prenatal kidney dysplasia, with neonatal and infantile renal dysfunction. Clinical features also include progressive peripheral neuropathy, muscular hypotonia and atrophy, and mild psychomotor delay with hearing and visual impairment. {ECO:0000269|PubMed:26084283}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0751651;C4225226	601683	616733	30.76462464	NaN	Class 1	-2.404256008	4.91909E-06	114879.8002	88568.56667	Peripheral	18.70348259	94.26381953
Q8NI60	COQ8A	Central nervous system;Metabolism;Ophthalmic system;Muscular system	Cofactor metabolism	1				1	"Mollet, J., Delahodde, A., Serre, V., Chretien, D., Schlemmer, D., Lombes, A., Boddaert, N., Desguerre, I., de Lonlay, P., de Baulny, H. O., Munnich, A., and Rotig, A. (2008) CABC1 gene mutations cause ubiquinone deficiency with cerebellar ataxia and seizures. Am. J. Hum. Genet. 82, 623-630"	"DISEASE: Coenzyme Q10 deficiency, primary, 4 (COQ10D4) [MIM:612016]: An autosomal recessive disorder characterized by childhood-onset of cerebellar ataxia and exercise intolerance. Patient manifest gait ataxia and cerebellar atrophy with slow progression. Additional features include brisk tendon reflexes and Hoffmann sign, variable psychomotor retardation and variable seizures. {ECO:0000269|PubMed:18319072, ECO:0000269|PubMed:18319074, ECO:0000269|PubMed:20580948, ECO:0000269|PubMed:22036850, ECO:0000269|PubMed:24048965, ECO:0000269|PubMed:24218524, ECO:0000269|PubMed:25498144, ECO:0000269|PubMed:26818466, ECO:0000269|PubMed:27106809}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0004138;C0007959;C0023520;C0751651;C2677589;C3551954;C3714756	606980	612016	10.27056121	13.69051153	Class 1	-1.127596539	0.000796641	346325.041	277223.6667	Ambiguous	36.21963717	97.43987495
Q96D53	COQ8B	Kidney and urinary tract	Cofactor metabolism	1				1	"Ashraf, S., Gee, H. Y., Woerner, S., Xie, L. X., Vega-Warner, V., Lovric, S., Fang, H., Song, X., Cattran, D. C., Avila-Casado, C., Paterson, A. D., Nitschke, P., Bole-Feysot, C., Cochat, P., Esteve-Rudd, J., Haberberger, B., Allen, S. J., Zhou, W., Airik, R., Otto, E. A., Barua, M., Al-Hamed, M. H., Kari, J. A., Evans, J., Bierzynska, A., Saleem, M. A., Bockenhauer, D., Kleta, R., El Desoky, S., Hacihamdioglu, D. O., Gok, F., Washburn, J., Wiggins, R. C., Choi, M., Lifton, R. P., Levy, S., Han, Z., Salviati, L., Prokisch, H., Williams, D. S., Pollak, M., Clarke, C. F., Pei, Y., Antignac, C., and Hildebrandt, F. (2013) ADCK4 mutations promote steroid-resistant nephrotic syndrome through CoQ10 biosynthesis disruption. J Clin Invest 123, 5179-5189"	"DISEASE: Nephrotic syndrome 9 (NPHS9) [MIM:615573]: A form of nephrotic syndrome, a renal disease clinically characterized by progressive renal failure, severe proteinuria, hypoalbuminemia, hyperlipidemia and edema. Kidney biopsies show focal segmental glomerulosclerosis. {ECO:0000269|PubMed:24270420, ECO:0000269|PubMed:25967120}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0751651;C3809965	615567	615573	28.50882926	NaN	Class 1	-0.992894995	0.000879306	85051.86814	64453.13333	Peripheral	46.85371229	91.71872711
O75208	COQ9	Central nervous system;Metabolism;Failure to thrive;Cardiovascular system;Pulmonary system ;Kidney and urinary tract;Others	Cofactor metabolism	1				1	"Duncan, A. J., Bitner-Glindzicz, M., Meunier, B., Costello, H., Hargreaves, I. P., Lopez, L. C., Hirano, M., Quinzii, C. M., Sadowski, M. I., Hardy, J., Singleton, A., Clayton, P. T., and Rahman, S. (2009) A nonsense mutation in COQ9 causes autosomal-recessive neonatal-onset primary coenzyme Q10 deficiency: a potentially treatable form of mitochondrial disease. Am. J. Hum. Genet.  84, 558-566"	"a multisystem infantile form with encephalopathy, cardiomyopathy and renal failure;a predominantly cerebellar form with ataxia and cerebellar atrophy;and an isolated myopathic form. {ECO:0000269|PubMed:19375058}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Coenzyme Q10 deficiency, primary, 5 (COQ10D5) [MIM:614654]: A form of coenzyme Q10 deficiency, an autosomal recessive disorder with variable manifestations consistent with 5 major phenotypes. The phenotypes include an encephalomyopathic form with seizures and ataxia;Leigh syndrome with growth retardation"	C0023520;C0543888;C0751651;C3553374;C3714756	612837	614654	24.44318615	NaN	Class 1	-2.580029589	5.82417E-05	101538.9976	94847.46667	Peripheral	21.17632126	88.66372073
Q12887	COX10	Central nervous system;Metabolism;Ophthalmic system;Failure to thrive;Cardiovascular system;Pulmonary system ;Muscular system;Ears;Peripheral nervous system;Hematologic system;Kidney and urinary tract;Others;Reproductive system	OXPHOS assembly & stability	1				1	"Valnot, I., von Kleist-Retzow, J. C., Barrientos, A., Gorbatyuk, M., Taanman, J. W., Mehaye, B., Rustin, P., Tzagoloff, A., Munnich, A., and Rotig, A. (2000) A mutation in the human heme A:farnesyltransferase gene (COX10) causes cytochrome c oxidase deficiency. Hum Mol Genet 9, 1245-1249"	"DISEASE: Leigh syndrome (LS) [MIM:256000]: An early-onset progressive neurodegenerative disorder characterized by the presence of focal, bilateral lesions in one or more areas of the central nervous system including the brainstem, thalamus, basal ganglia, cerebellum and spinal cord. Clinical features depend on which areas of the central nervous system are involved and include subacute onset of psychomotor retardation, hypotonia, ataxia, weakness, vision loss, eye movement abnormalities, seizures, and dysphagia. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Mitochondrial complex IV deficiency (MT-C4D) [MIM:220110]: A disorder of the mitochondrial respiratory chain with heterogeneous clinical manifestations, ranging from isolated myopathy to severe multisystem disease affecting several tissues and organs. Features include hypertrophic cardiomyopathy, hepatomegaly and liver dysfunction, hypotonia, muscle weakness, exercise intolerance, developmental delay, delayed motor development and mental retardation. Some affected individuals manifest a fatal hypertrophic cardiomyopathy resulting in neonatal death. A subset of patients manifest Leigh syndrome. {ECO:0000269|PubMed:10767350, ECO:0000269|PubMed:12928484, ECO:0000269|PubMed:26741492}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0023264;C0023520;C0268237;C0543888;C0751267;C0751268;C0751651;C1968949;C3714756	602125	256000-220110	47.70376876	NaN	Class 1	-1.807159451	1.75433E-05	2049.292889	8374.966667	0	NaN	NaN
Q96I36	COX14	"Central nervous system;Metabolism;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Pulmonary system "	OXPHOS assembly & stability	1				1	"Weraarpachai, W., Sasarman, F., Nishimura, T., Antonicka, H., Aure, K., Rotig, A., Lombes, A., and Shoubridge, E. A. (2012) Mutations in C12orf62, a factor that couples COX I synthesis with cytochrome c oxidase assembly, cause fatal neonatal lactic acidosis. Am. J. Hum. Genet. 90, 142-151"	"DISEASE: Note=Defects in COX14 may be a cause of a mitochondrial disorder presenting with severe congenital lactic acidosis and dysmorphic features associated with a COX assembly defect. Other features include brain hypertrophy, diffuse alteration of the white-matter myelination, and numerous cavities in the parieto-occipital region, brainstem, and cerebellum, as well as hepatomegaly, hypertrophic cardiomyopathy, renal hypoplasia, and adrenal-gland hyperplasia. {ECO:0000269|PubMed:22243966}."	C0268237;C0751651;C3714756	614478	220110	8.530795259	29.68300613	Class 1	-1.944610801	0.000246565	24303.8421	147928.4667	0	NaN	85.15838555
Q7KZN9	COX15	"Central nervous system;Metabolism;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Failure to thrive;Cardiovascular system;Pulmonary system ;Gastrointestinal system"	OXPHOS assembly & stability	1				1	"Antonicka, H., Mattman, A., Carlson, C. G., Glerum, D. M., Hoffbuhr, K. C., Leary, S. C., Kennaway, N. G., and Shoubridge, E. A. (2003) Mutations in COX15 produce a defect in the mitochondrial heme biosynthetic pathway, causing early-onset fatal hypertrophic cardiomyopathy. Am. J. Hum. Genet.  72, 101-114"	"DISEASE: Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2 (CEMCOX2) [MIM:615119]: An infantile disorder, with a rapidly progressive fatal course, characterized by cytochrome c oxidase deficiency. Clinical features include microcephaly, encephalopathy, hypertrophic cardiomyopathy, persistent lactic acidosis, respiratory distress, hypotonia and seizures. Postmortem cardiac muscle studies show marked complex IV deficiency. Complex IV activity is only slightly decreased in the skeletal muscle. {ECO:0000269|PubMed:12474143, ECO:0000269|PubMed:21412973}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Leigh syndrome (LS) [MIM:256000]: An early-onset progressive neurodegenerative disorder characterized by the presence of focal, bilateral lesions in one or more areas of the central nervous system including the brainstem, thalamus, basal ganglia, cerebellum and spinal cord. Clinical features depend on which areas of the central nervous system are involved and include subacute onset of psychomotor retardation, hypotonia, ataxia, weakness, vision loss, eye movement abnormalities, seizures, and dysphagia. {ECO:0000269|PubMed:15235026, ECO:0000269|PubMed:15863660}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0023264;C0023520;C0543888;C0751267;C0751268;C0751651;C1838951;C1850597;C1850598;C1850599;C1850600;C1858424;C2931891;C3554534;C3714756	603646	615119-256000	54.09236032	65.71792963	Class 1	-1.01623992	0.000676975	85819.71675	118926.4667	Integral	98.64681829	95.61697431
Q9P0S2	COX16	"Central nervous system;Metabolism;Ophthalmic system;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Failure to thrive;Cardiovascular system;Pulmonary system ;Ears;Liver;Gastrointestinal system;Hematologic system"	OXPHOS assembly & stability	1				1	"Wintjes LTM, Kava M, van den Brandt FA, van den Brand MAM, Lapina O, Bliksrud YT, Kulseth MA, Amundsen SS, Selberg TR, Ybema-Antoine M, Tutakhel OAZ, Greed L, Thorburn DR, Tangeraas T, Balasubramaniam S, Rodenburg RJT. A novel variant in COX16 causes cytochrome c oxidase deficiency, severe fatal neonatal lactic acidosis, encephalopathy, cardiomyopathy, and liver dysfunction. Hum Mutat. 2021 Feb;42(2):135-141."			618064		NaN	NaN	Class 2	-2.361349691	0.039883375	27126.68183	NaN	0	NaN	NaN
Q5RI15	COX20	Central nervous system;Metabolism;Others	OXPHOS assembly & stability	1				1	"Szklarczyk, R., Wanschers, B. F., Nijtmans, L. G., Rodenburg, R. J., Zschocke, J., Dikow, N., van den Brand, M. A., Hendriks-Franssen, M. G., Gilissen, C., Veltman, J. A., Nooteboom, M., Koopman, W. J., Willems, P. H., Smeitink, J. A., Huynen, M. A., and van den Heuvel, L. P. (2013) A mutation in the FAM36A gene, the human ortholog of COX20, impairs cytochrome c oxidase assembly and is associated with ataxia and muscle hypotonia. Hum Mol Genet 22, 656-667"	"DISEASE: Mitochondrial complex IV deficiency (MT-C4D) [MIM:220110]: A disorder of the mitochondrial respiratory chain with heterogeneous clinical manifestations, ranging from isolated myopathy to severe multisystem disease affecting several tissues and organs. Features include hypertrophic cardiomyopathy, hepatomegaly and liver dysfunction, hypotonia, muscle weakness, exercise intolerance, developmental delay, delayed motor development and mental retardation. Some affected individuals manifest a fatal hypertrophic cardiomyopathy resulting in neonatal death. A subset of patients manifest Leigh syndrome. {ECO:0000269|PubMed:23125284, ECO:0000269|PubMed:24202787, ECO:0000269|PubMed:29154948}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0004138;C0268237;C0751651	614698	220110	135.4049006	231.5790306	Class 1	-1.676247391	0.00016513	135488.4403	103696.8	Integral	95.62274969	88.7147294
P13073	COX4I1	"Congenital anomalies and dysmorphisms, intrauterine abnormalities;Failure to thrive;Hematologic system"	OXPHOS complex subunits	1				1	"Abu-Libdeh, B., Douiev, L., Amro, S., Shahrour, M., Ta-Shma, A., Miller, C., Elpeleg, O., and Saada, A. (2017) Mutation in the COX4I1 gene is associated with short stature, poor weight gain and increased chromosomal breaks, simulating Fanconi anemia. Eur. J. Hum. Genet. 25, 1142-1146"		C0751651	123864		27.79306675	NaN	Class 1	-1.417838136	0.000209396	2310323.103	3615496.667	Integral	90.05415238	92.70223677
Q96KJ9	COX4I2	Central nervous system;Failure to thrive;Pulmonary system ;Liver;Gastrointestinal system;Skeletal system;Hematologic system;Integumentary system	OXPHOS complex subunits	1				1	"Shteyer, E., Saada, A., Shaag, A., Al-Hijawi, F. A., Kidess, R., Revel-Vilk, S., and Elpeleg, O. (2009) Exocrine pancreatic insufficiency, dyserythropoeitic anemia, and calvarial hyperostosis are caused by a mutation in the COX4I2 gene. Am. J. Hum. Genet. 84, 412-417"	"DISEASE: Exocrine pancreatic insufficiency dyserythropoietic anemia and calvarial hyperostosis (EPIDACH) [MIM:612714]: Patients present with pancreatic insufficiency, intestinal malabsorption, failure to thrive, and anemia soon after birth. {ECO:0000269|PubMed:19268275}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0010828;C0158995;C0751651;C2675184	607976	612714	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0
P20674	COX5A	"Central nervous system;Metabolism;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Failure to thrive;Cardiovascular system;Pulmonary system ;Liver;Gastrointestinal system"	OXPHOS complex subunits	1				1	"Baertling, F., Al-Murshedi, F., Sanchez-Caballero, L., Al-Senaidi, K., Joshi, N. P., Venselaar, H., van den Brand, M. A., Nijtmans, L. G., and Rodenburg, R. J. (2017) Mutation in mitochondrial complex IV subunit COX5A causes pulmonary arterial hypertension, lactic acidemia, and failure to thrive. Hum Mutat 38, 692-703"	"DISEASE: Note=Mitochondrial complex IV deficiency is a rare condition caused by mutation in COX5A that lead to pulmonary arterial hypertension (PAH), failure to thrive and lactic acidemia. {ECO:0000269|PubMed:28247525}."	C0268237;C0751651	603773		85.65062646	NaN	Class 1	-1.456128258	0.000479155	1702329.155	3112153.333	Ambiguous	74.01543932	69.82616695
P12074	COX6A1	Central nervous system;Ears;Peripheral nervous system;Skeletal system	OXPHOS complex subunits	1				1	"Tamiya, G., Makino, S., Hayashi, M., Abe, A., Numakura, C., Ueki, M., Tanaka, A., Ito, C., Toshimori, K., Ogawa, N., Terashima, T., Maegawa, H., Yanagisawa, D., Tooyama, I., Tada, M., Onodera, O., and Hayasaka, K. (2014) A Mutation of COX6A1 Causes a Recessive Axonal or Mixed Form of Charcot-Marie-Tooth Disease. Am. J. Hum. Genet. 95, 294-300"	"DISEASE: Charcot-Marie-Tooth disease, recessive, intermediate type, D (CMTRID) [MIM:616039]: A form of Charcot-Marie-Tooth disease, a disorder of the peripheral nervous system, characterized by progressive weakness and atrophy, initially of the peroneal muscles and later of the distal muscles of the arms. Recessive intermediate forms of Charcot-Marie-Tooth disease are characterized by clinical and pathologic features intermediate between demyelinating and axonal peripheral neuropathies, and motor median nerve conduction velocities ranging from 25 to 45 m/sec. {ECO:0000269|PubMed:25152455}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0007959;C0751651;C4015029	602072	616039	NaN	61.09961331	Class 1	-2.410096482	0.000674857	37792.96297	NaN	Integral	89.13492242	87.51691517
Q02221	COX6A2	"Metabolism;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Cardiovascular system;Pulmonary system ;Muscular system"	OXPHOS complex subunits	1				1	"Inoue M, Uchino S, Iida A, Noguchi S, Hayashi S, Takahashi T, Fujii K, Komaki H, Takeshita E, Nonaka I, Okada Y, Yoshizawa T, Van Lommel L, Schuit F, Goto YI, Mimaki M, Nishino I. COX6A2 variants cause a muscle-specific cytochrome c oxidase deficiency. Ann Neurol. 2019 Aug;86(2):193-202."			602009	619062	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0
